Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
2M2vBYafh51b4VhGmg793UZi8VSGP35UNyH49eDBBLWT,180,83,617.0,7.43,19,20,2,4,19,24248.2,24248.2,0.0,0.0,0.0,0.0,0.0,2.730088495575221,2144.0,0.0,unknown,33
Asaw6WZMsxZ8Jc2NMu8b7B4ksCQTB28yWLS33R1ChVfL,373,1,98.0,98.0,21,9,2,5,12,7490.0,7490.0,0.0,0.0,0.0,0.0,0.0,1.0769230769230769,0.04,0.0,unknown,375
Atwg8NJJfoyKGDnFwMGLwbUcRZiDRsSXAMfLkpJHW7GJ,68,12,97.0,8.08,22,6,2,1,11,3440.3,3440.3,0.0,0.45,0.0,128560.94,0.0,1.3857142857142857,838.52,0.0,wallet,21
G2ZBtjjcGVa2zEjEVvBNeAKaRQx2Ct9Ck7b8H4X3thbr,483,102,561.0,5.5,23,19,1,0,10,1160.6,1160.6,0.0,0.0,0.0,814.87,0.0,1.2808219178082192,461.78,0.0,wallet,0
7o8RUgWUXCy1VnfbqTJ2JWAshuYubhDQyJXcQanikXc2,79,3,7.0,2.33,11,6,1,0,3,94.6,94.6,0.0,0.0,0.0,1995.0,0.0,1.75,1507.41,0.0,wallet,16
CysW7avkLkVcmZXPk6RN9W2EQ12NKS8zwTgf2r9syNML,49,15,129.0,8.6,13,6,1,0,10,203.0,203.0,0.0,2.01,0.0,0.0,75.43,1.084033613445378,0.01,0.0,wallet,6
Es4rSDMbkPo9mY2mrVRwR7MJEVsnVhsabNkDbwg9heoW,706,5,26.0,5.2,22,5,1,0,4,150.2,150.2,0.0,0.0,0.0,0.0,0.0,1.238095238095238,0.0,0.0,unknown,311
7ZKvx6BFWcvkRuwSeKTnUX3eRnMQdDmPgZRDBG2Wehse,245,7,17.0,2.43,9,3,1,1,3,292.0,292.0,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.33,0.0,wallet,8
4v4Y6enBryYHHXGt214us878eKtsifXpGbYi6xttJdYu,143,5,18.0,3.6,23,7,1,0,3,182.8,182.8,0.0,0.0,0.0,5080.0,0.0,1.5,2224.15,0.0,wallet,15
RBsobdPvuPqwoHE9Tj6KoTZcLFctgPRez5cQuLiVKYx,42,41,1000.0,24.39,12,2,1,0,3,0.0,0.0,0.0,0.01,0.01,31332.53,0.0,1.0,990.42,0.0,wallet,0
2cCK3PVLhV7jyV2nzj9MGVXQ16D9wag1jbqCWerTcvoH,493,90,216.0,2.4,22,7,1,0,7,3159.9,3159.9,0.0,0.0,0.0,683.21,0.0,1.7007874015748032,0.45,0.0,wallet,0
7ZXysFfak84EQxfaaHMQkCcuJVfoWQMYJJRoRf1CwNTU,189,13,34.0,2.62,9,5,1,0,5,327.0,327.0,0.0,0.0,0.0,0.0,0.0,3.4,55.7,0.0,unknown,80
DFxVXzXJ5QdxKxnyjXUWXkL9gU9rGRLLQeozs6Z371A9,498,19,81.0,4.26,12,9,1,1,12,209.4,209.4,0.0,0.01,0.0,0.0,0.0,1.173913043478261,0.07,0.0,wallet,9
Ce73rrfwXE3smbBaWkM4zhJWNLckXJ1Q3xKThJxnBexk,689,38,184.0,4.84,23,45,1,0,23,1309.3,1309.3,0.0,0.0,0.0,440.98,0.0,1.4045801526717556,0.75,0.0,wallet,5
3fVL1HxtkXb8FVxzXcQWrBwXqfFfM7wdGaJNQjGkhtxR,305,32,233.0,7.28,23,5,1,1,10,678.0,678.0,0.0,0.0,0.0,0.0,0.0,1.1887755102040816,483.42,0.0,wallet,6
HLbkoDLFzhNzxXwjYjCvY9adaZsNyVP4HNSthSdTVEF,89,3,9.0,3.0,10,6,1,1,6,750.0,750.0,0.0,0.01,0.0,0.0,0.0,1.5,0.09,0.0,wallet,23
7599ft1GZW6Ax4J6RAWuSYsZbPfkQkS4LvDDf1Rjv2UU,942,72,50.0,0.69,14,2,1,0,0,52224.4,52224.4,0.0,0.0,0.0,0.0,0.0,1.0,13533.82,0.0,unknown,381
DqupTxkUfk2KEm9SA8XyPbAqqoHAovgMAaPABokNwDHs,499,28,472.0,16.86,22,7,1,0,7,15347.9,2700.0,0.0,0.0,0.0,0.0,0.0,1.0,707.3,0.0,unknown,472
