address,cex_name,distinct_name
8NBEbxLknGv5aRYefFrW2qFXoDZyi9fSHJNiJRvEcMBE,HTX,HTX 3
FJS2rTjAQmFFRmVqtnkceGvLJrMwUPgCUfLjciuMYkSC,OKX,OKX 20
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp46,OKX,OKX 24
5VCwKtCXgCJ6kit5FybXjvriW3xELsFDhYrPSqtJNmcD,OKX,OKX 33
28nYGHJyUVcVdxZtzKByBXEj127XnrUkrE3VaGuWj1ZU,Ceffu,Ceffu 1
Edbef6Xi35u6iYEmeGAFmThCZrgj6MxzYAgAmZFYPmFF,Binance,Binance 17
GnCRxKqUEPouYMvTb5nJMGrDB3VkTXZnDTaDuVZdnWA3,Bitfinex,Bitfinex 12
Fe7SEekiKygziaEGKxsDsgLVzrCfNvVBvAYsaJBwFA8s,Swissborg,Swissborg 2
HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,Backpack,Backpack 2
2vzgquwagv84t9xcjekauja5cz4wsat2uc2fe4mqfdza,CoinDCX,CoinDCX 1
8nFGjbJNdarBouEC856Qmhrm8fptuEUnZrpNKgougsLi,CoinDCX,CoinDCX 9
EhZLSqyWrazhqR5bmyyEfFRa3ycWu9KPgQgQ7G1R9zC9,CoinDCX,CoinDCX 16
DdzFFzCqrhtBatWqyFge4w6M6VLgNUwRHiXTAg3xfQCU,Gate.io,Gate.io 3
BY4StcU9Y2BpgH8quZzorg31EGE4L1rjomN8FNsCBEcx,HTX,HTX 4
7fGw3UURsxk1szQ4buxQyEkiF4P6z7vx7sN1MHEguTJg,OKX,OKX 6
15abPBmJrMY7QJeCEQJQbQ9a62A7ndfTo8KC7Wn4dzt9,OKX,OKX 13
CE8joA143dBjsCFTeBxBs3kNGNU87WH6Q7GMMfxPzSr2,OKX,OKX 16
CGZAHxBannZzYK3rzVdG1e3uNjMxrmaXDhLEZxQBbueq,OKX,OKX 17
5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej,Ceffu,Ceffu 2
MTCEM5YJJSYGW2RCXYXGE4SXLSPUUEJKQAWG2GUX6CNN,Binance,Binance 10
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8,Binance,Binance 16
erd1a56dkgcpwwx6grmcvw9w5vpf9zeq53w3w7n6dmxc,Bitfinex,Bitfinex 8
1P7cDFGeWm6ezez6XGXTAjvm8qcsGiMXe7,Coinsquare,Coinsquare 1
bc1qgc446er7nn9t92hnk5untxg2ad4hvxaanpvwmrex,Bitstamp,Bitstamp 4
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,Gate.io,Gate.io 6
FefAbVt2EgXMGxeJb6sB1k5pQJhiGPxw4mB1zeUohZLk,OKX,OKX 21
1Dkx7zjy4pRMwLQwWkbhb9Jxy7EXLfkdHVRXufwvdLV7,OKX,OKX 27
aebwztwxscynnuqcedhs54wttrqrw3nj1utqddzb4c7b,Robinhood,Robinhood 4
6p8LxMvHUZtdiik28TQy483WaCaDGsAUFm3PKjpUpLB,CoinDCX,CoinDCX 7
9buzBcTujdQLyf1XkyLaSrGNbkyNxg8qML3bpKWCz9P6,CoinDCX,CoinDCX 12
erd1z5xjeu4xw32jkckhj9jpc9dymj6a9h8yxtch96e4,LAToken,LAToken 3
6Attw9NcFspCAreufvQ3mW8aqXEk6MDceeoC8obw45cJ,OKX,OKX 3
887234fe5ed5e77272465317978ae86c25a71531d933,Binance,Binance 7
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,Kraken,Kraken 2
6ZRCB7AAqGre6c72PRz3MHLC73VMYvJ8bi9KHf1HFpNk,FTX,FTX 4
JBpj7yp4Afvb71TmanVwJZXGeX4kqbGFvjCFCRo3EbTM,FTX US,FTX US 1
BZHBVLCCYGERFGQ3ZRQPSJ7R6UB3NXFBF552BGYAGX4,Bitfinex,Bitfinex 4
i57ExrKB2i4mSgjSuq2xz617mQXmu33WG2WEYypmdvX,Bitstamp,Bitstamp 5
HiRpdAZifEsZGdzQ5Xo5wcnaH3D2Jj9SoNsUzcYNK78J,Gate.io,Gate.io 7
s9dsgkgwk759fxrnpae7f4q5d3uk2aw97ypjvvf3kjy4,NBX,NBX 1
GcFZHQVJ2icPGLrA9qPLq88b7eqBXSUcdL1utUtUfcSD,OKX,OKX 22
DPqsobysNf5iA9w7zrQM8HLzCKZEDMkZsWbiidsAt1xo,coinbase,coinbase hot wallet4
5g7yNHyGLJ7fiQ9SN9mf47opDnMjc585kqXWt6d7aBWs,coinbase,coinbase hot wallet
is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,okx,okx hot wallet1
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,kraken,kraken hot wallet
FpwQQhQQoEaVu3WU2qZMfF1hx48YyfwsLoRgXG83E99Q,coinbase,coinbase hot wallet
9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,hyperunit,hyuperunit hot wallet
6TzYiZQXFt7nXyLq91QeBnEXTgmcvtxpQ61j2jUfMoa7,kraken,kraken hot wallet
Gem2VAypSg7Ai7vjDKPTtqFahpoQWkfgVkyzx3rPoTka,bybit,bybit14
G9X7F4JzLzbSGMCndiBdWNi5YzZZakmtkdwq7xS3Q3FE,stake.com,stake vault
2qo8jvuc49pFmTjmUHLiARSV6ppPTaE7gw27ZJ6DnNZy,bybit,bybit12
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,okx,okx wallet
D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,coinbase,coinbase wallet
RBHdGVfDfMjfU6iUfCb1LczMJcQLx7hGnxbzRsoDNvx,rollbit,rollbit treasury
9obNtb5GyUegcs3a1CbBkLuc5hEWynWfJC6gjz5uWQkE,coinbase,coinbase4
59L2oxymiQQ9Hvhh92nt8Y7nDYjsauFkdb3SybdnsG6h,coinbase,coinbase5
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,mexc,mexc2
8s9j5qUtuE9PGA5s7QeAXEh5oc2UGr71pmJXgyiZMHkt,lbank,lbank
5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,bybit,bybit15
53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,binance,binance hot wallet
9VWD3xbXWtC2aGN1mQcVFwZMRPSjJfknNYq4DqGQ7B8B,crypto.com,crypto.com hot wallet
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,crypto.com,crypto.com hot wallet3
BA7UdvSVywRisn8YLMpg6emrNNk3N3TFqSrKJXmTBKdt,btc turk, btc turk wallet
GCRJD52pGwcCSs4oswYxTBCPatxY1P6WpxCC9R9zty6r,coinbase,coinbase hot wallet
AafGzY9eiC5Ud3YFZQwkaKApp48cVBAT2kksGvEjhUvH,coinbase,coinbase hot wallet
8JUEoHNMbWM4eegcMvx6ZQJt3V3fbo8JNjpWiCtJgxfF,coinbase,coinbase hot wallet
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,coinbase, coinbase prime
CK8i4zFXkDE2KWfyg7g9S748r6mwxajbcKcyGhQMR3qQ,bybit,bybit wallet13
Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,bithumb, bithumn hot wallet
9ZifroknFoYu4r6DUk6nYoJiUQnEyyoUyeAwjXbPoL2x,bybit,bybit14
7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,upbit,upbit hot wallet
AEZoku1fLfUz5JYJ3kJ5YVdf3QT1T4RwdggGbuR8Eakd,okx,okx hotwallet
ADqZYsW9SVZ6bCSGDqfBiPkfaZuQKGg79MA357otX8Ud,crypto.com,crypto.com hot wallet5
faczL4zr9Ss5U3sN829LgykeUZQ8BiNqkXPub6nUSHe,rapira,rapira
CDhUgGEiUxx1aTbnoiSAKcmBhnGUFRQ6AMzuLQRD5VFZ,kraken,kraken hot wallet
3yHvm5kFrEqYURBekXAXEpEWggpb8q51VRWDZtjZRQpT,rapira,rapira
4xLpwxgYuPwPvtQjE94RLS4WZ4aD8NJYYKr2AJk99Qdg,robinhood,robinhood hot wallet
i9XvhQqBCTQapqaFKPDuCbtPYMCwELmX8VTCsDhRG7d,bybit,bybit
iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,bybit,bybit10
4NyK1AdJBNbgaJ9EsKz3J4rfeHsuYdjkTPg3JaNdLeFw,coinbase,coinbase4
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,wintermute,wintermute hot wallet
Bc5bth4Mn2n8DX1etZwvnq3uDEGg479s2D24TCEsnXHf,bullish,bullish hot wallet
DMe3ddj7awSR3LFC64rjmCPexsrSv33QAxFoJux4vGH3,swissborg,swissborg hot wallet
C57RBagtGDYpTGxwG92gSKQ5ptQr4Wa9qz3yDBB6uu1B,swissborg, swissborg vault
76iXe9yKFDjGv3HicUVVy8AYxHLC71L1wYa12zaZzHHp,shuffle.com,hot wallet
