source,destination,amount,usdamount
8pRB4hhLLBWyBZhTK9tvLHQ1kL8pUr18JRnN6EPHbyts,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,113429.7,0.0
9DgytPwZaHpA2iEhupE9QjdPz7BC5DnM89aimwr81SZx,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,269.1,0.0
9EKMLQyEWpuhTgcvYD9i6nvym65ipd3bBKhgsN5UUiRo,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,2.5,0.0
9FdhQY8uxwGSMtFxAg97eozHCkJAYPRPngsEhEPPtWJn,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,14.0,0.0
9HMTjpUwUmYbRxPjzoWxjvqXw6sMRwynJFPq9YFp9FU7,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,8.0,0.0
9KtjGmjiLp8zMNCWyTAdGjo6st7ZskhUhyyepTStdPCa,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,3.5,0.0
9NW6X3ibtghNQrpFVh4WKw9AwbykPE2Mb8GpRARyyp4z,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,118109.7,0.0
9QV9FWpHgrfiEauXNfsZDkBH4vGc4Za7cboTXZxLZLrB,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,679.0,0.0
9T4yQ1qzcoz2PUbbyYUXpxjvbBaSKXPUGo591CzBbwEX,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,3.0,0.0
9UFcMpd7bAfTYTS1tbmKuAimeR2ki58ZLj3vc6yETMca,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,3.0,0.0
